Index,Time[s],Ch0[V],Ch1[V],
840,42,-6.04102941066958,0.0899976384826005,
841,42.05,-5.86066719447263,0.0964391462039202,
842,42.1,-5.88256832072511,0.0925742415711284,
843,42.15,-5.72024232614785,0.0977274477481842,
844,42.2,-5.73956684931181,0.0938625431153923,
845,42.25,-5.59914198098704,0.101592352380976,
846,42.3,-5.48834804818034,0.0964391462039202,
847,42.35,-5.30283262580633,0.10288065392524,
848,42.4,-5.53730350686237,0.0990157492924482,
849,42.45,-5.39172543236054,0.105457257013768,
850,42.5,-5.52442049141973,0.101592352380976,
851,42.55,-5.52828539605252,0.108033860102296,
852,42.6,-5.54116841149516,0.10288065392524,
853,42.65,-5.4110499555245,0.10932216164656,
854,42.7,-5.24357075477019,0.105457257013768,
855,42.75,-5.19461529608816,0.111898764735088,
856,42.8,-4.94597309804522,0.108033860102296,
857,42.85,-4.68315958301537,0.114475367823616,
858,42.9,-4.59684337954968,0.10932216164656,
859,42.95,-4.61487960116938,0.114475367823616,
860,43,-4.57623055484146,0.110610463190824,
861,43.05,-4.51825698534958,0.11576366936788,
862,43.1,-4.40230984636582,0.110610463190824,
863,43.15,-4.32243515062146,0.118340272456408,
864,43.2,-4.22323593171313,0.113187066279352,
865,43.25,-4.10342388809659,0.118340272456408,
866,43.3,-3.98361184448004,0.113187066279352,
867,43.35,-3.89987224410288,0.120916875544935,
868,43.4,-3.83932207152247,0.11576366936788,
869,43.45,-3.60098628583364,0.123493478633463,
870,43.5,-3.47344443295151,0.118340272456408,
871,43.55,-3.3059652321972,0.124781780177727,
872,43.6,-3.36265050014481,0.120916875544935,
873,43.65,-3.33173126308247,0.127358383266255,
874,43.7,-3.27762259822339,0.123493478633463,
875,43.75,-3.28921731212176,0.129934986354783,
876,43.8,-3.28535240748897,0.126070081721991,
877,43.85,-3.20032450556755,0.132511589443311,
878,43.9,-3.18615318858065,0.127358383266255,
879,43.95,-3.0663411449641,0.133799890987575,
880,44,-2.95039400598034,0.129934986354783,
881,44.05,-2.86278950097039,0.135088192531839,
882,44.1,-2.82414045464247,0.129934986354783,
883,44.15,-2.7017518079374,0.136376494076103,
884,44.2,-2.572921653511,0.132511589443311,
885,44.25,-2.46083941916004,0.138953097164631,
886,44.3,-2.36550510488451,0.133799890987575,
887,44.35,-2.27145909215324,0.138953097164631,
888,44.4,-2.15937685780227,0.136376494076103,
889,44.45,-2.0833670666907,0.142818001797423,
890,44.5,-1.99576256168075,0.138953097164631,
891,44.55,-1.92104107211344,0.145394604885951,
892,44.6,-1.83858977328055,0.140241398708895,
893,44.65,-1.7471203636378,0.147971207974479,
894,44.7,-1.63374982774258,0.142818001797423,
895,44.75,-1.61313700303435,0.149259509518743,
896,44.8,-1.63374982774258,0.144106303341687,
897,44.85,-1.59381247987039,0.150547811063007,
898,44.9,-1.557740036631,0.146682906430215,
899,44.95,-1.53455060883425,0.15183611260727,
900,45,-1.51909099030308,0.147971207974479,
901,45.05,-1.47271213470958,0.154412715695798,
902,45.1,-1.43921629455872,0.149259509518743,
903,45.15,-1.38381932815537,0.155701017240062,
904,45.2,-1.33357556792907,0.150547811063007,
905,45.25,-1.26143068145029,0.156989318784326,
906,45.3,-1.22278163512237,0.15183611260727,
907,45.35,-1.20345711195841,0.15827762032859,
908,45.4,-1.08106846525334,0.154412715695798,
909,45.45,-0.989599055610597,0.160854223417118,
910,45.5,-0.927760581485927,0.155701017240062,
911,45.55,-0.878805122803897,0.163430826505646,
912,45.6,-0.811813442502171,0.159565921872854,
913,45.65,-0.764146285364404,0.166007429594174,
914,45.7,-0.711325922049582,0.162142524961382,
915,45.75,-0.675253478810191,0.168584032682702,
916,45.8,-0.632739527849481,0.163430826505646,
917,45.85,-0.586360672255978,0.17116063577123,
918,45.9,-0.551576530560851,0.166007429594174,
919,45.95,-0.519368991954252,0.172448937315494,
920,46,-0.480719945626333,0.168584032682702,
921,46.05,-0.451089010108262,0.175025540404022,
922,46.1,-0.427899582311511,0.17116063577123,
923,46.15,-0.405998456059024,0.17760214349255,
924,46.2,-0.381520726718009,0.172448937315494,
925,46.25,-0.348024886567146,0.180178746581078,
926,46.3,-0.32354715722613,0.175025540404022,
927,46.35,-0.306799237150699,0.181467048125342,
928,46.4,-0.28747471398674,0.17760214349255,
929,46.45,-0.272015095455572,0.184043651213869,
930,46.5,-0.239807556848973,0.180178746581078,
931,46.55,-0.214041525963694,0.186620254302397,
932,46.6,-0.193428701255471,0.181467048125342,
933,46.65,-0.175392479635775,0.189196857390925,
934,46.7,-0.159932861104608,0.184043651213869,
935,46.75,-0.14447324257344,0.190485158935189,
936,46.8,-0.127725322498009,0.185331952758133,
937,46.85,-0.114842307055369,0.191773460479453,
938,46.9,-0.103247593156993,0.187908555846661,
939,46.95,-0.0903645777143538,0.194350063567981,
940,47,-0.08263476844877,0.190485158935189,
941,47.05,-0.0749049591831863,0.195638365112245,
942,47.1,-0.0723283560946584,0.191773460479453,
943,47.15,-0.0658868483733386,0.198214968200773,
944,47.2,-0.0594453406520188,0.193061762023717,
945,47.25,-0.0568687375634909,0.199503269745037,
946,47.3,-0.051715531386435,0.194350063567981,
947,47.35,-0.0491389282979071,0.200791571289301,
948,47.4,-0.0452740236651152,0.195638365112245,
949,47.45,-0.0426974205765873,0.202079872833565,
950,47.5,-0.0401208174880594,0.198214968200773,
951,47.55,-0.0401208174880594,0.204656475922093,
952,47.6,-0.0375442143995315,0.200791571289301,
