,,,-45.99999636E-3,32.79999924,,,,,-45.99999636E-3,2.3999999,
,,,-45.95999792E-3,32.79999924,,,,,-45.95999792E-3,2.3999999,
,,,-45.91999575E-3,33.60000229,,,,,-45.91999575E-3,2.3999999,
,,,-45.87999731E-3,34.40000153,,,,,-45.87999731E-3,2.4800000,
,,,-45.83999887E-3,35.20000076,,,,,-45.83999887E-3,2.4800000,
,,,-45.79999670E-3,35.20000076,,,,,-45.79999670E-3,2.3999999,
,,,-45.75999826E-3,36.00000000,,,,,-45.75999826E-3,2.4800000,
,,,-45.71999609E-3,36.79999924,,,,,-45.71999609E-3,2.4800000,
,,,-45.67999765E-3,37.60000229,,,,,-45.67999765E-3,2.4800000,
,,,-45.63999549E-3,37.60000229,,,,,-45.63999549E-3,2.4800000,
,,,-45.59999704E-3,38.40000153,,,,,-45.59999704E-3,2.4800000,
,,,-45.55999860E-3,39.20000076,,,,,-45.55999860E-3,2.5599999,
,,,-45.51999643E-3,40.00000000,,,,,-45.51999643E-3,2.5599999,
,,,-45.47999799E-3,40.00000000,,,,,-45.47999799E-3,2.5599999,
,,,-45.43999583E-3,40.79999924,,,,,-45.43999583E-3,2.5599999,
,,,-45.39999738E-3,40.79999924,,,,,-45.39999738E-3,2.5599999,
,,,-45.35999894E-3,41.60000229,,,,,-45.35999894E-3,2.5599999,
,,,-45.31999677E-3,42.40000153,,,,,-45.31999677E-3,2.5599999,
,,,-45.27999833E-3,42.40000153,,,,,-45.27999833E-3,2.6399999,
,,,-45.23999617E-3,43.20000076,,,,,-45.23999617E-3,2.6399999,
,,,-45.19999772E-3,44.00000000,,,,,-45.19999772E-3,2.5599999,
,,,-45.15999556E-3,44.00000000,,,,,-45.15999556E-3,2.6399999,
,,,-45.11999711E-3,44.79999924,,,,,-45.11999711E-3,2.6399999,
,,,-45.07999867E-3,44.79999924,,,,,-45.07999867E-3,2.6399999,
,,,-45.03999650E-3,45.60000229,,,,,-45.03999650E-3,2.6399999,
,,,-44.99999806E-3,46.40000153,,,,,-44.99999806E-3,2.6399999,
,,,-44.95999590E-3,46.40000153,,,,,-44.95999590E-3,2.6399999,
,,,-44.91999745E-3,47.20000076,,,,,-44.91999745E-3,2.72000003,
,,,-44.87999529E-3,47.20000076,,,,,-44.87999529E-3,2.6399999,
,,,-44.83999684E-3,48.00000000,,,,,-44.83999684E-3,2.72000003,
,,,-44.79999840E-3,48.00000000,,,,,-44.79999840E-3,2.72000003,
,,,-44.75999624E-3,48.00000000,,,,,-44.75999624E-3,2.6399999,
,,,-44.71999779E-3,48.79999924,,,,,-44.71999779E-3,2.72000003,
,,,-44.67999563E-3,48.79999924,,,,,-44.67999563E-3,2.72000003,
,,,-44.63999718E-3,49.60000229,,,,,-44.63999718E-3,2.72000003,
,,,-44.59999874E-3,49.60000229,,,,,-44.59999874E-3,2.72000003,
,,,-44.55999658E-3,49.60000229,,,,,-44.55999658E-3,2.72000003,
,,,-44.51999813E-3,50.40000153,,,,,-44.51999813E-3,2.72000003,
,,,-44.47999597E-3,50.40000153,,,,,-44.47999597E-3,2.72000003,
,,,-44.43999752E-3,51.20000076,,,,,-44.43999752E-3,2.72000003,
,,,-44.39999536E-3,51.20000076,,,,,-44.39999536E-3,2.79999995,
,,,-44.35999691E-3,51.20000076,,,,,-44.35999691E-3,2.72000003,
,,,-44.31999847E-3,52.00000000,,,,,-44.31999847E-3,2.72000003,
,,,-44.27999631E-3,52.00000000,,,,,-44.27999631E-3,2.79999995,
,,,-44.23999786E-3,52.00000000,,,,,-44.23999786E-3,2.79999995,
,,,-44.19999570E-3,52.00000000,,,,,-44.19999570E-3,2.72000003,
,,,-44.15999725E-3,52.00000000,,,,,-44.15999725E-3,2.79999995,
,,,-44.11999881E-3,52.79999924,,,,,-44.11999881E-3,2.79999995,
,,,-44.07999665E-3,52.79999924,,,,,-44.07999665E-3,2.72000003,
,,,-44.03999820E-3,52.79999924,,,,,-44.03999820E-3,2.79999995,
,,,-43.99999604E-3,52.79999924,,,,,-43.99999604E-3,2.72000003,
,,,-43.95999759E-3,53.60000229,,,,,-43.95999759E-3,2.79999995,
